GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
deadline4j-spring-boot-starter,io.deadline4j.spring.autoconfigure,Deadline4jProperties.AdaptiveDefaults,0,101,0,0,0,38,0,16,0,16
deadline4j-spring-boot-starter,io.deadline4j.spring.autoconfigure,Deadline4jProperties,0,51,0,0,0,19,0,11,0,11
deadline4j-spring-boot-starter,io.deadline4j.spring.autoconfigure,Deadline4jAutoConfiguration,2,83,2,8,1,25,2,11,0,8
deadline4j-spring-boot-starter,io.deadline4j.spring.autoconfigure,Deadline4jProperties.ServiceProperties,0,41,0,0,0,17,0,11,0,11
