GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
deadline4j-opentelemetry,io.deadline4j.opentelemetry,DeadlineTextMapPropagator,2,100,5,13,0,23,5,10,0,6
deadline4j-opentelemetry,io.deadline4j.opentelemetry,DeadlineSpanProcessor,0,52,2,8,0,18,2,7,0,4
